time,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
1086,VCB,20131104,12.8274,12.8274,12.6093,12.6093,302890
1087,VCB,20131105,12.6093,12.8274,12.6093,12.8274,160270
1088,VCB,20131106,12.8274,12.9583,12.8274,12.9583,100630
1089,VCB,20131107,12.9583,13.0456,12.9147,13.002,336660
1090,VCB,20131108,13.002,13.0456,12.8274,13.002,177490
1091,VCB,20131111,13.002,13.0892,12.8274,13.0892,350210
1092,VCB,20131112,13.0892,13.0892,12.9147,12.9583,238320
1093,VCB,20131113,12.9583,12.9583,12.8711,12.8711,237390
1094,VCB,20131114,12.8711,12.9583,12.8274,12.9147,83190
1095,VCB,20131115,12.9147,12.9583,12.9147,12.9583,100880
1096,VCB,20131118,12.9583,13.0892,12.9583,13.002,155410
1097,VCB,20131119,13.002,13.002,12.6529,12.6966,484590
1098,VCB,20131120,12.6966,12.7838,12.6093,12.7838,498340
1099,VCB,20131121,12.7838,12.8711,12.6093,12.6093,508680
1100,VCB,20131122,12.6093,12.6529,12.5657,12.6093,214450
1101,VCB,20131125,12.6093,12.6966,12.5657,12.6093,226190
1102,VCB,20131126,12.6093,12.6529,12.4784,12.4784,179560
1103,VCB,20131127,12.4784,12.5657,12.3039,12.3475,579660
1104,VCB,20131128,12.3475,12.3475,12.2166,12.3475,192780
1105,VCB,20131129,12.3475,12.4348,12.3039,12.4348,247990
1106,VCB,20131202,12.4348,12.4784,12.3475,12.3911,68290
1107,VCB,20131203,12.3911,12.4348,12.3475,12.3911,335130
1108,VCB,20131204,12.3911,12.3911,12.2602,12.2602,176890
1109,VCB,20131205,12.2602,12.2602,11.9548,11.9985,797050
1110,VCB,20131206,11.9985,12.2166,12.0857,12.173,88990
1111,VCB,20131209,12.173,12.2166,12.0857,12.2166,217550
1112,VCB,20131210,12.2166,12.2166,12.0857,12.1294,134190
1113,VCB,20131211,12.1294,12.1294,11.9112,11.9112,176860
1114,VCB,20131212,11.9112,11.9112,11.7367,11.7803,300100
1115,VCB,20131213,11.7803,11.7803,11.6494,11.6494,337670
1116,VCB,20131216,11.6494,11.693,11.5185,11.5622,538500
1117,VCB,20131217,11.5622,11.7367,11.5622,11.693,305950
1118,VCB,20131218,11.693,11.8239,11.6494,11.7367,1290810
1119,VCB,20131219,11.7367,11.9548,11.693,11.8676,2255780
1120,VCB,20131220,11.8676,11.8676,11.693,11.693,2834510
1121,VCB,20131223,11.693,11.8239,11.693,11.8239,809720
1122,VCB,20131224,11.8239,11.8239,11.6494,11.7367,1112870
1123,VCB,20131225,11.7367,11.7367,11.6058,11.693,600280
1124,VCB,20131226,11.693,11.7803,11.6494,11.7803,621860
1125,VCB,20131227,11.7803,11.8239,11.693,11.693,602070
1126,VCB,20131230,11.693,11.7367,11.5185,11.5185,883410
1127,VCB,20131231,11.5185,11.7367,11.5185,11.693,377610
1128,VCB,20140102,11.693,11.7367,11.6058,11.6494,333900
1129,VCB,20140103,11.6494,11.9112,11.6494,11.8676,813360
1130,VCB,20140106,11.8676,11.9548,11.7803,11.8239,375890
1131,VCB,20140107,11.8239,12.173,11.9548,12.0857,2372530
1132,VCB,20140108,12.0857,12.2602,12.0421,12.2602,1474370
1133,VCB,20140109,12.2602,12.3911,12.2166,12.3475,697120
1134,VCB,20140110,12.3475,12.3911,12.1294,12.1294,855370
1135,VCB,20140113,12.1294,12.1294,11.8239,11.9985,1691140
1136,VCB,20140114,11.9985,12.1294,11.9548,12.0857,983210
1137,VCB,20140115,12.0857,12.173,11.9985,12.0857,729090
1138,VCB,20140116,12.0857,12.173,11.9985,12.0857,1361150
1139,VCB,20140117,12.0857,12.5657,12.173,12.3911,2643720
1140,VCB,20140120,12.3911,13.0456,12.4348,12.7402,2886110
1141,VCB,20140121,12.7402,12.9147,12.4348,12.9147,1899570
1142,VCB,20140122,12.9147,12.9583,12.6966,12.7402,1489060
1143,VCB,20140123,12.7402,12.8711,12.6529,12.7838,1020730
1144,VCB,20140124,12.7838,12.7838,12.522,12.6093,1152110
1145,VCB,20140127,12.6093,12.6093,12.4348,12.4348,743890
1146,VCB,20140206,12.4348,12.4348,12.1294,12.173,1232150
1147,VCB,20140207,12.173,12.3039,12.0857,12.1294,693300
1148,VCB,20140210,12.1294,12.3475,12.0857,12.3475,488760
1149,VCB,20140211,12.3475,12.4784,12.3039,12.3475,954100
1150,VCB,20140212,12.3475,12.6529,12.3475,12.6529,1140490
1151,VCB,20140213,12.6529,12.8274,12.6093,12.6093,924000
1152,VCB,20140214,12.6093,12.7402,12.6093,12.6529,638900
1153,VCB,20140217,12.6529,12.6966,12.4784,12.5657,702690
1154,VCB,20140218,12.5657,12.6529,12.522,12.6529,686890
1155,VCB,20140219,12.6529,12.7402,12.6093,12.6966,810790
1156,VCB,20140220,12.6966,12.9583,12.5657,12.6966,1245820
1157,VCB,20140221,12.6966,12.7402,12.6093,12.6529,489570
1158,VCB,20140224,12.6529,12.7402,12.6093,12.6966,430120
1159,VCB,20140225,12.6966,12.8274,12.6966,12.8274,1179140
1160,VCB,20140226,12.8274,13.3074,13.002,13.2201,1692630
1161,VCB,20140227,13.2201,13.5255,13.2201,13.3074,1604570
1162,VCB,20140228,13.3074,13.7001,13.0892,13.351,1322660
1163,VCB,20140303,13.351,13.5255,13.002,13.002,1194230
1164,VCB,20140304,13.002,13.1765,12.7402,13.002,996660
1165,VCB,20140305,13.002,13.2201,13.002,13.0892,678050
1166,VCB,20140306,13.0892,13.1329,13.002,13.0892,553810
1167,VCB,20140307,13.0892,13.1765,13.0456,13.0456,760200
1168,VCB,20140310,13.0456,13.5255,13.0456,13.4383,893900
1169,VCB,20140311,13.4383,13.7001,13.4383,13.5692,1440940
1170,VCB,20140312,13.5692,13.6564,13.351,13.351,1081320
1171,VCB,20140313,13.351,13.6128,13.351,13.6128,796550
1172,VCB,20140314,13.6128,13.7001,13.4383,13.6564,820920
1173,VCB,20140317,13.6564,13.6564,13.351,13.4383,910890
1174,VCB,20140318,13.4383,13.4383,13.2638,13.3074,576830
1175,VCB,20140319,13.3074,13.5255,13.3074,13.4819,801270
1176,VCB,20140320,13.4819,13.5255,13.351,13.3946,689800
1177,VCB,20140321,13.3946,13.8746,13.3946,13.5692,3372760
1178,VCB,20140324,13.5692,13.9618,13.7437,13.8746,1332010
1179,VCB,20140325,13.8746,14.0055,13.7001,13.831,1244340
1180,VCB,20140326,13.831,13.831,13.1765,13.2638,1491940
1181,VCB,20140327,13.2638,13.3946,13.1329,13.2638,1248890
1182,VCB,20140328,13.2638,13.5692,13.2638,13.4383,980460
1183,VCB,20140331,13.4383,13.7001,13.351,13.4383,1075020
1184,VCB,20140401,13.4383,13.831,13.2638,13.5692,1542170
1185,VCB,20140402,13.5692,13.7437,13.351,13.6128,752860
1186,VCB,20140403,13.6128,13.7437,13.5692,13.6564,619120
1187,VCB,20140404,13.6564,13.7437,13.6128,13.6564,354790
1188,VCB,20140407,13.6564,13.7873,13.5692,13.7001,504290
1189,VCB,20140408,13.7001,13.7437,13.6564,13.7437,772700
1190,VCB,20140410,13.7437,13.831,13.6128,13.6128,870900
1191,VCB,20140411,13.6128,13.6128,13.4819,13.5255,658470
1192,VCB,20140414,13.5255,13.5255,13.351,13.3946,659610
